tweet_id,date,brand,tweet,sentiment_label,likes,retweets,user_followers
101116,2024-01-11,Netflix,Can't believe how good Netflix has gotten. The new features are outstanding. #MustWatch #Streaming,Positive,309,125,22860
101368,2024-01-18,Netflix,Saw a Netflix ad today. Not sure if I should upgrade yet or wait. #NetflixSeries,Neutral,66,19,33496
100422,2024-03-12,Tesla,Read an article about Tesla strategy for the next fiscal year. #TeslaModel3 #EV #ElonMusk,Neutral,71,53,31580
100413,2024-03-12,Nike,Never buying Nike again. Product broke after two weeks of use. Total waste. #JustDoIt #NikeRunning #Sneakers,Negative,174,65,6745
100451,2024-09-16,Apple,Just got the new Apple product and it's absolutely amazing! Totally worth it. #MacBook,Positive,116,105,16825
100861,2024-01-24,Samsung,Loving my new Samsung. The quality is top-notch and customer service was great. #GalaxyS #GalaxyWatch #SamsungTV,Positive,213,78,8180
101063,2024-11-17,Nike,The Nike update is fantastic! So much smoother and faster now. 10/10. #NikeRunning #JustDoIt,Positive,218,90,17861
100741,2024-01-14,Netflix,Loving my new Netflix. The quality is top-notch and customer service was great. #MustWatch #Netflix,Positive,493,26,42752
101272,2024-04-10,Google,Google support team helped me resolve my issue within minutes. Excellent service! #Google #GoogleAI #Pixel,Positive,393,22,20280
100259,2024-02-28,Google,Regret buying Google. The product is nothing like what was advertised online. #Android #Pixel,Negative,132,56,23028
100888,2024-01-16,Tesla,Tesla delivered exactly what I needed on time. Truly impressed with the service. #TeslaModel3 #Autopilot,Positive,472,113,27513
101432,2024-11-18,Samsung,Thinking about switching to Samsung but haven't made up my mind yet. #GalaxyS #SamsungTV #Samsung,Neutral,182,63,12212
100712,2024-06-29,Netflix,Netflix promised delivery in 2 days but it's been 10 days and still nothing. #Streaming #BingeWatch #MustWatch,Negative,88,47,7024
101382,2024-09-24,Apple,Apple is really disappointing lately. Quality has gone downhill so much. #iPhone,Negative,75,25,43510
100070,2024-01-24,Amazon,Shoutout to Amazon for the incredible experience. Will definitely buy again. #Amazon,Positive,197,67,33070
101268,2024-08-03,Samsung,Samsung promised delivery in 2 days but it's been 10 days and still nothing. #GalaxyS #Samsung2024 #SamsungTV,Negative,111,55,44552
101491,2024-05-22,Microsoft,Shoutout to Microsoft for the incredible experience. Will definitely buy again. #Microsoft #Windows11,Positive,247,21,27591
100607,2024-09-09,Amazon,Overpriced garbage from Amazon as usual. Not worth a single penny. #Amazon #FBA #AmazonDeals,Negative,138,63,20272
100433,2024-03-21,Apple,Happy with my Apple purchase. Great value for money and excellent build quality. #Apple,Positive,284,81,8805
100051,2024-02-08,Amazon,Happy with my Amazon purchase. Great value for money and excellent build quality. #AmazonDeals #Amazon #FBA,Positive,169,44,42657
101199,2024-11-29,Tesla,Tesla support team helped me resolve my issue within minutes. Excellent service! #Tesla #Autopilot,Positive,353,10,26521
101128,2024-12-09,Apple,Apple support team helped me resolve my issue within minutes. Excellent service! #MacBook #iOS #AppleWatch,Positive,346,86,35920
101190,2024-09-21,Tesla,Tesla released their quarterly report today with some mixed numbers. #Tesla,Neutral,138,67,9814
101249,2024-10-09,Netflix,The Netflix update is fantastic! So much smoother and faster now. 10/10. #MustWatch #NetflixSeries #Netflix,Positive,445,73,15469
101419,2024-11-26,Nike,Loving my new Nike. The quality is top-notch and customer service was great. #JustDoIt #NikeRunning #Sneakers,Positive,122,148,11208
100432,2024-01-25,Tesla,Never buying Tesla again. Product broke after two weeks of use. Total waste. #TeslaModel3 #ElonMusk #Autopilot,Negative,124,18,13959
101452,2024-05-28,Netflix,Loving my new Netflix. The quality is top-notch and customer service was great. #Streaming #Netflix,Positive,499,71,7391
101470,2024-10-29,Nike,Terrible experience with Nike. Customer service was unhelpful and rude. #Sneakers #JustDoIt #Nike,Negative,5,57,30120
